Date,Adj Close 1,Adj Close 2,Adj Close 3
12/17/2018,0.45,253.229996,70.655952
12/18/2018,0.43,251.809998,68.709198
12/19/2018,0.38,252.309998,67.544952
12/20/2018,0.4,249.539993,65.493217
12/21/2018,0.37,249.509995,65.006531
12/24/2018,0.36,248.309998,62.51582
12/27/2018,0.35,246.699997,65.789055
12/28/2018,0.38,249.009995,65.054237
12/31/2018,0.41,249.929993,65.073334
1/2/2019,0.52,249.270004,66.504776
1/3/2019,0.54,247.339996,65.483673
1/4/2019,0.62,251.199997,67.898048
1/7/2019,0.56,251.520004,68.251129
1/8/2019,0.58,252.850006,68.747368
1/9/2019,0.66,254.059998,69.109993
1/10/2019,0.65,254.220001,68.756905
1/11/2019,0.63,253.929993,68.441994
1/14/2019,0.62,253.720001,68.35611
1/15/2019,0.59,254.220001,68.394272
1/16/2019,0.6,255.330002,68.365646
1/17/2019,0.59,255.059998,68.833252
1/18/2019,0.59,258.200012,69.653938
1/22/2019,0.54,256.600006,68.604218
1/23/2019,0.52,255.240005,68.041191
1/24/2019,0.53,256.640015,68.136612
1/25/2019,0.53,258.179993,68.441994
1/28/2019,0.5,256.76001,67.983932
1/29/2019,0.49,257.380005,68.241592
1/30/2019,0.49,257.970001,68.985931
1/31/2019,0.5,258.040009,69.930687
2/1/2019,0.5,258.290009,72.45002
2/4/2019,0.5,257.980011,71.400307
2/5/2019,0.48,260.100006,72.135101
2/6/2019,0.48,260.720001,71.82019
2/7/2019,0.51,257.429993,71.266701
2/8/2019,0.48,256.130005,71.382492
2/11/2019,0.51,257.410004,71.498276
2/12/2019,0.51,258.5,72.752632
2/13/2019,0.5,259.540009,73.572792
2/14/2019,0.5,259.350006,73.592079
2/15/2019,0.5,261.529999,74.981529
2/19/2019,0.59,262.399994,75.483276
2/20/2019,0.59,263.850006,75.772728
2/21/2019,0.57,263.690002,75.087662
2/22/2019,0.55,263.559998,75.666595
2/25/2019,0.53,264.130005,75.743782
2/26/2019,0.55,264.170013,75.898178
2/27/2019,0.61,264.089996,76.679733
2/28/2019,0.63,264.480011,76.25518
3/1/2019,0.64,265.429993,77.191116
3/4/2019,0.64,265.820007,77.490227
3/5/2019,0.68,265.570007,77.374451
3/6/2019,0.67,265.26001,76.496391
3/7/2019,0.68,264.359985,77.345505
3/8/2019,0.68,263.269989,76.235878
3/11/2019,0.67,264.230011,76.978851
