Date,Open,High,Low,Close,Adj Close,Volume
2018-12-17,253.229996,253.229996,253.229996,253.229996,253.229996,0
2018-12-18,251.809998,251.809998,251.809998,251.809998,251.809998,0
2018-12-19,252.309998,252.309998,252.309998,252.309998,252.309998,0
2018-12-20,249.539993,249.539993,249.539993,249.539993,249.539993,0
2018-12-21,249.509995,249.509995,249.509995,249.509995,249.509995,0
2018-12-24,248.309998,248.309998,248.309998,248.309998,248.309998,0
2018-12-27,246.699997,246.699997,246.699997,246.699997,246.699997,0
2018-12-28,249.009995,249.009995,249.009995,249.009995,249.009995,0
2018-12-31,249.929993,249.929993,249.929993,249.929993,249.929993,0
2019-01-02,249.270004,249.270004,249.270004,249.270004,249.270004,0
2019-01-03,247.339996,247.339996,247.339996,247.339996,247.339996,0
2019-01-04,251.199997,251.199997,251.199997,251.199997,251.199997,0
2019-01-07,251.520004,251.520004,251.520004,251.520004,251.520004,0
2019-01-08,252.850006,252.850006,252.850006,252.850006,252.850006,0
2019-01-09,254.059998,254.059998,254.059998,254.059998,254.059998,0
2019-01-10,254.220001,254.220001,254.220001,254.220001,254.220001,0
2019-01-11,253.929993,253.929993,253.929993,253.929993,253.929993,0
2019-01-14,253.720001,253.720001,253.720001,253.720001,253.720001,0
2019-01-15,254.220001,254.220001,254.220001,254.220001,254.220001,0
2019-01-16,255.330002,255.330002,255.330002,255.330002,255.330002,0
2019-01-17,255.059998,255.059998,255.059998,255.059998,255.059998,0
2019-01-18,258.200012,258.200012,258.200012,258.200012,258.200012,0
2019-01-21,257.480011,257.480011,257.480011,257.480011,257.480011,0
2019-01-22,256.600006,256.600006,256.600006,256.600006,256.600006,0
2019-01-23,255.240005,255.240005,255.240005,255.240005,255.240005,0
2019-01-24,256.640015,256.640015,256.640015,256.640015,256.640015,0
2019-01-25,258.179993,258.179993,258.179993,258.179993,258.179993,0
2019-01-28,256.760010,256.760010,256.760010,256.760010,256.760010,0
2019-01-29,257.380005,257.380005,257.380005,257.380005,257.380005,0
2019-01-30,257.970001,257.970001,257.970001,257.970001,257.970001,0
2019-01-31,258.040009,258.040009,258.040009,258.040009,258.040009,0
2019-02-01,258.290009,258.290009,258.290009,258.290009,258.290009,0
2019-02-04,257.980011,257.980011,257.980011,257.980011,257.980011,0
2019-02-05,260.100006,260.100006,260.100006,260.100006,260.100006,0
2019-02-06,260.720001,260.720001,260.720001,260.720001,260.720001,0
2019-02-07,257.429993,257.429993,257.429993,257.429993,257.429993,0
2019-02-08,256.130005,256.130005,256.130005,256.130005,256.130005,0
2019-02-11,257.410004,257.410004,257.410004,257.410004,257.410004,0
