Date,Open,High,Low,Close,Adj Close,Volume
2018-12-06,0.620000,0.660000,0.600000,0.640000,0.640000,7200
2018-12-07,0.610000,0.650000,0.600000,0.620000,0.620000,19300
2018-12-10,0.600000,0.600000,0.570000,0.580000,0.580000,23900
2018-12-11,0.580000,0.580000,0.540000,0.550000,0.550000,16600
2018-12-12,0.540000,0.560000,0.540000,0.560000,0.560000,5100
2018-12-13,0.540000,0.540000,0.540000,0.540000,0.540000,200
2018-12-14,0.540000,0.540000,0.500000,0.510000,0.510000,22800
2018-12-17,0.510000,0.510000,0.430000,0.450000,0.450000,56800
2018-12-18,0.460000,0.470000,0.430000,0.430000,0.430000,21900
2018-12-19,0.440000,0.440000,0.380000,0.380000,0.380000,23900
2018-12-20,0.400000,0.420000,0.370000,0.400000,0.400000,119600
2018-12-21,0.390000,0.400000,0.360000,0.370000,0.370000,124100
2018-12-24,0.350000,0.380000,0.350000,0.360000,0.360000,41700
2018-12-26,0.360000,0.380000,0.360000,0.380000,0.380000,11800
2018-12-27,0.390000,0.390000,0.340000,0.350000,0.350000,77700
2018-12-28,0.390000,0.400000,0.380000,0.380000,0.380000,69100
2018-12-31,0.360000,0.420000,0.360000,0.410000,0.410000,19200
2019-01-02,0.420000,0.540000,0.420000,0.520000,0.520000,11900
2019-01-03,0.550000,0.570000,0.500000,0.540000,0.540000,31500
2019-01-04,0.590000,0.630000,0.580000,0.620000,0.620000,27000
2019-01-07,0.620000,0.620000,0.550000,0.560000,0.560000,9800
2019-01-08,0.570000,0.580000,0.550000,0.580000,0.580000,4800
2019-01-09,0.610000,0.670000,0.610000,0.660000,0.660000,18500
2019-01-10,0.660000,0.660000,0.620000,0.650000,0.650000,22700
2019-01-11,0.640000,0.650000,0.630000,0.630000,0.630000,6300
2019-01-14,0.650000,0.650000,0.590000,0.620000,0.620000,5600
2019-01-15,0.590000,0.630000,0.590000,0.590000,0.590000,15600
2019-01-16,0.630000,0.630000,0.580000,0.600000,0.600000,6200
2019-01-17,0.600000,0.600000,0.550000,0.590000,0.590000,17900
2019-01-18,0.570000,0.590000,0.560000,0.590000,0.590000,11900
2019-01-22,0.600000,0.600000,0.540000,0.540000,0.540000,17600
2019-01-23,0.570000,0.570000,0.520000,0.520000,0.520000,46200
2019-01-24,0.530000,0.530000,0.530000,0.530000,0.530000,40100
2019-01-25,0.530000,0.540000,0.520000,0.530000,0.530000,38000
2019-01-28,0.540000,0.540000,0.500000,0.500000,0.500000,36500
2019-01-29,0.510000,0.510000,0.490000,0.490000,0.490000,86500
2019-01-30,0.520000,0.520000,0.490000,0.490000,0.490000,12100
2019-01-31,0.500000,0.510000,0.490000,0.500000,0.500000,9800
2019-02-01,0.520000,0.520000,0.490000,0.500000,0.500000,11100
2019-02-04,0.520000,0.520000,0.490000,0.500000,0.500000,3900
2019-02-05,0.420000,0.500000,0.420000,0.480000,0.480000,24400
2019-02-06,0.480000,0.480000,0.480000,0.480000,0.480000,1600
2019-02-07,0.510000,0.510000,0.510000,0.510000,0.510000,1100
2019-02-08,0.490000,0.490000,0.460000,0.480000,0.480000,13800
2019-02-11,0.490000,0.510000,0.480000,0.510000,0.510000,45300
2019-02-12,0.510000,0.530000,0.500000,0.510000,0.510000,27000
2019-02-13,0.510000,0.520000,0.500000,0.500000,0.500000,24400
2019-02-14,0.500000,0.510000,0.500000,0.500000,0.500000,8500
2019-02-15,0.500000,0.510000,0.500000,0.500000,0.500000,31000
2019-02-19,0.520000,0.590000,0.520000,0.590000,0.590000,103100
2019-02-20,0.600000,0.630000,0.590000,0.590000,0.590000,62700
2019-02-21,0.590000,0.590000,0.550000,0.570000,0.570000,28000
2019-02-22,0.560000,0.570000,0.540000,0.550000,0.550000,42900
2019-02-25,0.530000,0.560000,0.520000,0.530000,0.530000,40300
2019-02-26,0.530000,0.550000,0.520000,0.550000,0.550000,6500
2019-02-27,0.570000,0.610000,0.570000,0.610000,0.610000,14700
2019-02-28,0.630000,0.630000,0.580000,0.630000,0.630000,7300
2019-03-01,0.640000,0.670000,0.640000,0.640000,0.640000,8700
2019-03-04,0.670000,0.690000,0.640000,0.640000,0.640000,17000
2019-03-05,0.660000,0.680000,0.660000,0.680000,0.680000,19200
2019-03-06,0.620000,0.700000,0.620000,0.670000,0.670000,59700
2019-03-07,0.650000,0.680000,0.640000,0.680000,0.680000,19600
2019-03-08,0.650000,0.680000,0.650000,0.680000,0.680000,4300
2019-03-11,0.700000,0.720000,0.670000,0.670000,0.670000,9500
2019-03-12,0.650000,0.660000,0.650000,0.660000,0.660000,7000
2019-03-13,0.670000,0.680000,0.650000,0.680000,0.680000,22200
2019-03-14,0.670000,0.670000,0.650000,0.670000,0.670000,31000
2019-03-15,0.650000,0.660000,0.650000,0.660000,0.660000,43000
2019-03-18,0.650000,0.650000,0.600000,0.620000,0.620000,32600
2019-03-19,0.630000,0.640000,0.610000,0.620000,0.620000,14500
2019-03-20,0.640000,0.640000,0.610000,0.610000,0.610000,20800
2019-03-21,0.610000,0.620000,0.610000,0.620000,0.620000,9700
2019-03-22,0.610000,0.620000,0.590000,0.610000,0.610000,10500
2019-03-25,0.600000,0.600000,0.570000,0.570000,0.570000,17500
2019-03-26,0.590000,0.610000,0.590000,0.600000,0.600000,2200
2019-03-27,0.590000,0.600000,0.590000,0.590000,0.590000,3800
2019-03-28,0.560000,0.580000,0.560000,0.580000,0.580000,1400
2019-03-29,0.570000,0.580000,0.570000,0.580000,0.580000,22400
2019-04-01,0.570000,0.590000,0.560000,0.590000,0.590000,11200
2019-04-02,0.600000,0.600000,0.580000,0.590000,0.590000,6000
2019-04-03,0.600000,0.600000,0.550000,0.560000,0.560000,40900
2019-04-04,0.580000,0.580000,0.560000,0.570000,0.570000,2600
2019-04-05,0.560000,0.570000,0.560000,0.560000,0.560000,35500
2019-04-08,0.570000,0.610000,0.570000,0.600000,0.600000,35700
2019-04-09,0.610000,0.610000,0.600000,0.600000,0.600000,14600
2019-04-10,0.620000,0.640000,0.620000,0.630000,0.630000,8300
2019-04-11,0.620000,0.630000,0.570000,0.590000,0.590000,9600
2019-04-12,0.590000,0.660000,0.570000,0.640000,0.640000,29300
2019-04-15,0.650000,0.670000,0.580000,0.670000,0.670000,16000
2019-04-16,0.670000,0.670000,0.620000,0.620000,0.620000,2000
2019-04-17,0.630000,0.630000,0.600000,0.610000,0.610000,16400
2019-04-18,0.610000,0.620000,0.610000,0.610000,0.610000,7100
2019-04-22,0.610000,0.630000,0.610000,0.610000,0.610000,6300
2019-04-23,0.640000,0.660000,0.630000,0.660000,0.660000,13500
2019-04-24,0.670000,0.670000,0.610000,0.650000,0.650000,12800
2019-04-25,0.640000,0.660000,0.640000,0.660000,0.660000,6400
2019-04-26,0.620000,0.630000,0.610000,0.610000,0.610000,6200
2019-04-29,0.630000,0.640000,0.630000,0.630000,0.630000,1100
2019-04-30,0.630000,0.630000,0.580000,0.580000,0.580000,9800
2019-05-01,0.600000,0.610000,0.600000,0.600000,0.600000,18300
2019-05-02,0.600000,0.640000,0.580000,0.640000,0.640000,44500
2019-05-03,0.650000,0.660000,0.640000,0.660000,0.660000,38100
2019-05-06,0.670000,0.690000,0.650000,0.690000,0.690000,61500
2019-05-07,0.710000,0.710000,0.660000,0.700000,0.700000,25600
2019-05-08,0.690000,0.710000,0.670000,0.710000,0.710000,10500
2019-05-09,0.710000,0.710000,0.680000,0.680000,0.680000,14500
2019-05-10,0.650000,0.690000,0.650000,0.690000,0.690000,6200
2019-05-13,0.690000,0.700000,0.670000,0.670000,0.670000,8400
2019-05-14,0.670000,0.690000,0.640000,0.660000,0.660000,6700
2019-05-15,0.590000,0.660000,0.590000,0.620000,0.620000,20200
2019-05-16,0.670000,0.670000,0.640000,0.670000,0.670000,6300
2019-05-17,0.660000,0.690000,0.660000,0.680000,0.680000,7600
2019-05-20,0.680000,0.680000,0.680000,0.680000,0.680000,0
2019-05-21,0.650000,0.660000,0.630000,0.630000,0.630000,21000
2019-05-22,0.610000,0.630000,0.610000,0.630000,0.630000,300
2019-05-23,0.600000,0.600000,0.570000,0.570000,0.570000,49900
2019-05-24,0.520000,0.600000,0.520000,0.570000,0.570000,14600
2019-05-28,0.580000,0.580000,0.570000,0.570000,0.570000,16100
2019-05-29,0.550000,0.560000,0.540000,0.540000,0.540000,19500
2019-05-30,0.540000,0.550000,0.540000,0.550000,0.550000,5300
2019-05-31,0.550000,0.550000,0.550000,0.550000,0.550000,0
2019-06-03,0.520000,0.520000,0.440000,0.460000,0.460000,31800
2019-06-04,0.500000,0.500000,0.490000,0.490000,0.490000,16000
2019-06-05,0.500000,0.500000,0.470000,0.470000,0.470000,2700
2019-06-06,0.500000,0.530000,0.480000,0.530000,0.530000,6700
2019-06-07,0.540000,0.550000,0.490000,0.500000,0.500000,10500
2019-06-10,0.460000,0.520000,0.460000,0.480000,0.480000,6100
2019-06-11,0.480000,0.480000,0.480000,0.480000,0.480000,300
2019-06-12,0.530000,0.530000,0.490000,0.490000,0.490000,15500
2019-06-13,0.500000,0.500000,0.490000,0.490000,0.490000,1200
2019-06-14,0.500000,0.500000,0.500000,0.500000,0.500000,7600
2019-06-17,0.500000,0.500000,0.460000,0.470000,0.470000,3200
2019-06-18,0.520000,0.520000,0.490000,0.490000,0.490000,9700
2019-06-19,0.500000,0.510000,0.500000,0.510000,0.510000,1100
2019-06-20,0.520000,0.580000,0.520000,0.580000,0.580000,25800
2019-06-21,0.580000,0.580000,0.580000,0.580000,0.580000,100
2019-06-24,0.560000,0.570000,0.560000,0.560000,0.560000,1200
2019-06-25,0.540000,0.540000,0.540000,0.540000,0.540000,400
2019-06-26,0.560000,0.580000,0.560000,0.580000,0.580000,8100
2019-06-27,0.580000,0.580000,0.580000,0.580000,0.580000,0
2019-06-28,0.570000,0.570000,0.530000,0.550000,0.550000,11300
2019-07-01,0.550000,0.550000,0.550000,0.550000,0.550000,0
2019-07-02,0.500000,0.530000,0.500000,0.530000,0.530000,700
2019-07-03,0.490000,0.490000,0.460000,0.460000,0.460000,2900
2019-07-05,0.460000,0.460000,0.460000,0.460000,0.460000,0
2019-07-08,0.490000,0.490000,0.480000,0.480000,0.480000,1000
2019-07-09,0.470000,0.480000,0.470000,0.480000,0.480000,700
2019-07-10,0.470000,0.510000,0.470000,0.510000,0.510000,14100
2019-07-11,0.490000,0.490000,0.490000,0.490000,0.490000,200
2019-07-12,0.480000,0.500000,0.480000,0.500000,0.500000,11000
2019-07-15,0.510000,0.510000,0.500000,0.500000,0.500000,800
2019-07-16,0.500000,0.500000,0.500000,0.500000,0.500000,200
2019-07-17,0.500000,0.500000,0.500000,0.500000,0.500000,5000
2019-07-18,0.490000,0.510000,0.490000,0.510000,0.510000,10500
2019-07-19,0.490000,0.520000,0.490000,0.520000,0.520000,1700
2019-07-22,0.520000,0.520000,0.520000,0.520000,0.520000,0
2019-07-23,0.510000,0.540000,0.510000,0.540000,0.540000,3400
2019-07-24,0.530000,0.530000,0.530000,0.530000,0.530000,3000
2019-07-25,0.520000,0.520000,0.520000,0.520000,0.520000,9100
2019-07-26,0.450000,0.500000,0.450000,0.500000,0.500000,1000
2019-07-29,0.450000,0.500000,0.450000,0.500000,0.500000,1000
2019-07-30,0.500000,0.500000,0.460000,0.460000,0.460000,57300
2019-07-31,0.490000,0.510000,0.480000,0.510000,0.510000,12300
2019-08-01,0.490000,0.490000,0.460000,0.490000,0.490000,15300
2019-08-02,0.470000,0.500000,0.470000,0.500000,0.500000,1200
2019-08-05,0.480000,0.480000,0.460000,0.460000,0.460000,1000
2019-08-06,0.470000,0.470000,0.450000,0.470000,0.470000,6300
2019-08-07,0.460000,0.460000,0.420000,0.420000,0.420000,30000
2019-08-08,0.420000,0.480000,0.420000,0.480000,0.480000,2300
2019-08-09,0.450000,0.490000,0.430000,0.450000,0.450000,18500
2019-08-12,0.450000,0.470000,0.430000,0.430000,0.430000,28300
2019-08-13,0.460000,0.460000,0.460000,0.460000,0.460000,1800
2019-08-14,0.460000,0.490000,0.400000,0.400000,0.400000,5800
2019-08-15,0.440000,0.460000,0.440000,0.460000,0.460000,900
2019-08-16,0.460000,0.460000,0.460000,0.460000,0.460000,0
2019-08-19,0.430000,0.470000,0.430000,0.430000,0.430000,10400
2019-08-20,0.440000,0.440000,0.430000,0.430000,0.430000,5300
2019-08-21,0.430000,0.450000,0.430000,0.450000,0.450000,2000
2019-08-22,0.450000,0.450000,0.450000,0.450000,0.450000,0
2019-08-23,0.450000,0.450000,0.450000,0.450000,0.450000,0
2019-08-26,0.410000,0.450000,0.410000,0.420000,0.420000,7100
2019-08-27,0.420000,0.450000,0.390000,0.390000,0.390000,22000
2019-08-28,0.390000,0.390000,0.390000,0.390000,0.390000,0
2019-08-29,0.450000,0.460000,0.450000,0.460000,0.460000,4400
